Size,Type,MergeSortTime,MergeInsertionSortTime
500,Random,0,0
500,Reversed,0,0
500,NearlySorted,0,0
600,Random,0,0
600,Reversed,0,0
600,NearlySorted,0,0
700,Random,0,0
700,Reversed,0,0
700,NearlySorted,0,0
800,Random,0,0
800,Reversed,0,0
800,NearlySorted,0,0
900,Random,0,0
900,Reversed,0,0
900,NearlySorted,0,0
1000,Random,0,0
1000,Reversed,0,0
1000,NearlySorted,0,0
1100,Random,0,0
1100,Reversed,0,0
1100,NearlySorted,0,0
1200,Random,0,0
1200,Reversed,0,0
1200,NearlySorted,0,0
1300,Random,0,0
1300,Reversed,0,0
1300,NearlySorted,0,0
1400,Random,0,0
1400,Reversed,0,0
1400,NearlySorted,0,0
1500,Random,0,0
1500,Reversed,0,0
1500,NearlySorted,0,0
1600,Random,0,0
1600,Reversed,0,0
1600,NearlySorted,0,0
1700,Random,0,0
1700,Reversed,0,0
1700,NearlySorted,0,0
1800,Random,0,0
1800,Reversed,0,0
1800,NearlySorted,0,0
1900,Random,0,0
1900,Reversed,0,0
1900,NearlySorted,0,0
2000,Random,0,0
2000,Reversed,0,0
2000,NearlySorted,0,0
2100,Random,0,1
2100,Reversed,0,0
2100,NearlySorted,0,0
2200,Random,0,0
2200,Reversed,0,0
2200,NearlySorted,0,0
2300,Random,0,1
2300,Reversed,0,0
2300,NearlySorted,0,0
2400,Random,1,1
2400,Reversed,0,0
2400,NearlySorted,0,0
2500,Random,0,1
2500,Reversed,0,0
2500,NearlySorted,0,0
2600,Random,0,1
2600,Reversed,0,0
2600,NearlySorted,0,1
2700,Random,1,1
2700,Reversed,1,0
2700,NearlySorted,0,0
2800,Random,1,1
2800,Reversed,0,0
2800,NearlySorted,0,0
2900,Random,1,1
2900,Reversed,0,1
2900,NearlySorted,0,0
3000,Random,1,1
3000,Reversed,0,1
3000,NearlySorted,0,0
3100,Random,1,1
3100,Reversed,0,1
3100,NearlySorted,1,0
3200,Random,4,1
3200,Reversed,1,1
3200,NearlySorted,1,1
3300,Random,1,1
3300,Reversed,1,1
3300,NearlySorted,1,1
3400,Random,2,1
3400,Reversed,1,1
3400,NearlySorted,1,1
3500,Random,1,1
3500,Reversed,1,1
3500,NearlySorted,0,0
3600,Random,1,1
3600,Reversed,1,1
3600,NearlySorted,0,1
3700,Random,1,1
3700,Reversed,1,1
3700,NearlySorted,1,1
3800,Random,1,1
3800,Reversed,1,1
3800,NearlySorted,1,0
3900,Random,1,1
3900,Reversed,1,1
3900,NearlySorted,1,1
4000,Random,1,1
4000,Reversed,1,2
4000,NearlySorted,1,1
4100,Random,1,1
4100,Reversed,1,1
4100,NearlySorted,1,1
4200,Random,1,1
4200,Reversed,1,1
4200,NearlySorted,1,1
4300,Random,1,1
4300,Reversed,1,1
4300,NearlySorted,1,1
4400,Random,1,1
4400,Reversed,1,1
4400,NearlySorted,1,1
4500,Random,1,1
4500,Reversed,1,1
4500,NearlySorted,1,1
4600,Random,2,1
4600,Reversed,1,1
4600,NearlySorted,1,1
4700,Random,1,1
4700,Reversed,1,1
4700,NearlySorted,1,1
4800,Random,1,1
4800,Reversed,1,1
4800,NearlySorted,1,1
4900,Random,1,1
4900,Reversed,1,1
4900,NearlySorted,1,1
5000,Random,1,1
5000,Reversed,1,1
5000,NearlySorted,1,1
5100,Random,1,1
5100,Reversed,1,1
5100,NearlySorted,1,1
5200,Random,1,1
5200,Reversed,1,1
5200,NearlySorted,1,1
5300,Random,1,1
5300,Reversed,1,1
5300,NearlySorted,1,1
5400,Random,2,2
5400,Reversed,1,1
5400,NearlySorted,1,1
5500,Random,2,2
5500,Reversed,1,1
5500,NearlySorted,1,1
5600,Random,2,2
5600,Reversed,1,1
5600,NearlySorted,1,1
5700,Random,2,2
5700,Reversed,1,1
5700,NearlySorted,1,1
5800,Random,2,2
5800,Reversed,1,1
5800,NearlySorted,1,1
5900,Random,2,2
5900,Reversed,1,1
5900,NearlySorted,1,1
6000,Random,2,2
6000,Reversed,1,1
6000,NearlySorted,1,1
6100,Random,2,2
6100,Reversed,1,1
6100,NearlySorted,1,1
6200,Random,2,2
6200,Reversed,1,1
6200,NearlySorted,1,2
6300,Random,2,2
6300,Reversed,2,2
6300,NearlySorted,1,1
6400,Random,2,2
6400,Reversed,2,2
6400,NearlySorted,1,2
6500,Random,2,2
6500,Reversed,2,2
6500,NearlySorted,1,1
6600,Random,2,2
6600,Reversed,2,2
6600,NearlySorted,1,1
6700,Random,2,2
6700,Reversed,2,2
6700,NearlySorted,1,1
6800,Random,2,3
6800,Reversed,2,2
6800,NearlySorted,1,2
6900,Random,3,4
6900,Reversed,2,2
6900,NearlySorted,2,1
7000,Random,2,2
7000,Reversed,2,2
7000,NearlySorted,2,2
7100,Random,2,2
7100,Reversed,2,2
7100,NearlySorted,1,2
7200,Random,2,2
7200,Reversed,2,2
7200,NearlySorted,1,1
7300,Random,2,2
7300,Reversed,2,2
7300,NearlySorted,2,1
7400,Random,2,2
7400,Reversed,2,2
7400,NearlySorted,2,1
7500,Random,2,2
7500,Reversed,2,2
7500,NearlySorted,2,2
7600,Random,2,2
7600,Reversed,2,2
7600,NearlySorted,2,2
7700,Random,2,2
7700,Reversed,2,2
7700,NearlySorted,2,2
7800,Random,2,2
7800,Reversed,2,2
7800,NearlySorted,2,2
7900,Random,3,3
7900,Reversed,2,2
7900,NearlySorted,2,2
8000,Random,3,3
8000,Reversed,2,3
8000,NearlySorted,2,2
8100,Random,3,3
8100,Reversed,3,2
8100,NearlySorted,2,2
8200,Random,5,5
8200,Reversed,3,3
8200,NearlySorted,2,2
8300,Random,3,3
8300,Reversed,2,3
8300,NearlySorted,3,2
8400,Random,3,3
8400,Reversed,2,2
8400,NearlySorted,2,2
8500,Random,3,3
8500,Reversed,2,2
8500,NearlySorted,2,2
8600,Random,3,3
8600,Reversed,3,3
8600,NearlySorted,3,2
8700,Random,3,3
8700,Reversed,3,3
8700,NearlySorted,2,2
8800,Random,3,3
8800,Reversed,3,3
8800,NearlySorted,3,2
8900,Random,3,3
8900,Reversed,3,3
8900,NearlySorted,2,2
9000,Random,3,3
9000,Reversed,3,3
9000,NearlySorted,2,3
9100,Random,3,3
9100,Reversed,3,3
9100,NearlySorted,2,2
9200,Random,3,3
9200,Reversed,3,3
9200,NearlySorted,3,3
9300,Random,3,4
9300,Reversed,3,3
9300,NearlySorted,3,3
9400,Random,3,3
9400,Reversed,3,3
9400,NearlySorted,3,3
9500,Random,3,3
9500,Reversed,3,3
9500,NearlySorted,3,3
9600,Random,4,3
9600,Reversed,3,3
9600,NearlySorted,3,3
9700,Random,3,3
9700,Reversed,3,3
9700,NearlySorted,3,3
9800,Random,4,3
9800,Reversed,3,3
9800,NearlySorted,3,3
9900,Random,4,4
9900,Reversed,3,3
9900,NearlySorted,3,3
10000,Random,4,4
10000,Reversed,3,3
10000,NearlySorted,3,3
